Title,video_id,director,int_production_company,agency,sa_service_co,year,Portfolio Categories,Portfolio Tags,menu_order
Mountain Dew 'Bungee',https://vimeo.com/1111758054,Toby Tremlett,"Stillking, Prague","Impact/BBDO, Dubai",,20020101,Orange Films,Commercials,1
Mountain Dew 'Bungee',https://vimeo.com/1111758004,Richard Sloggett,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials,2
Denny Ready Meals 'Speed',https://vimeo.com/1111757956,Colum Maguire,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials,3
Denny Ready Meals 'Talking Pint',https://vimeo.com/1111757918,Colum Maguire,"Russell Avis Productions, Dublin","DDFH&B, Dublin",,20020201,Orange Films,Commercials,4
Almhof 'Concrete Jungle',https://vimeo.com/1111757883,Kees Dijkstra,"KC Films, Amsterdam","Floor Landsmeer BV, Landsmeer",,20021201,Orange Films,Commercials,5
Gamma 'Overloaded',https://vimeo.com/1111757812,Kees Dijkstra,"KC Films, Amsterdam","PPGH/JWT, Amsterdam",,20030101,Orange Films,Commercials,6
Gamma 'France',https://vimeo.com/1111757763,Kees Dijkstra,"KC Films, Amsterdam","PPGH/JWT, Amsterdam",,20030101,Orange Films,Commercials,7
O2 'Bubble Road',https://vimeo.com/1111757727,Daniel Barber,"Rose Hackney Barber, London","VCCP, London",,20030301,Orange Films,Commercials,8
Meteor 'One Hand',https://vimeo.com/1111757690,Dominic Murgia,"Russell Avis Productions, Dublin","Chemistry, Dublin",,20030301,Orange Films,Commercials,9
Meteor 'Covered',https://vimeo.com/1111757652,Dominic Murgia,"Russell Avis Productions, Dublin","Chemistry, Dublin",,20030301,Orange Films,Commercials,10
Leerdammer 'Charactere',https://vimeo.com/1111757603,Kees Dijkstra,"KC Films, Amsterdam","Leo Burnett, Amsterdam",,20030301,Orange Films,Commercials,11
Leerdammer 'Smeerkaas',https://vimeo.com/1111757575,Kees Dijkstra,"KC Films, Amsterdam","Leo Burnett, Amsterdam",,20030301,Orange Films,Commercials,12
Samsung 'Train',https://vimeo.com/1111757538,Daniel Barber,"Rose Hackney Barber, London","FCB, New York",,20030901,Orange Films,Commercials,13
Slovak Telekom 'Boomerang',https://vimeo.com/1111757489,Michal Baumbruck,"Promea Communications, Bratislava",,,20031101,Orange Films,Commercials,14
Nestle 'Chocapic',https://vimeo.com/1111757450,Bill Scarlett,"Wilf Noggins, London",,,20031201,Orange Films,Commercials,15
Centra 'Circle of Life',https://vimeo.com/1111757429,Rory Kelleher,"Russell Avis Productions, Dublin","Young, Dublin",,20031201,Orange Films,Commercials,16
Electrolux Frost-Free Freezer 'Not Thinking',https://vimeo.com/1111757406,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials,17
Electrolux Profi Steam Oven '5 Star Luxury',https://vimeo.com/1111757377,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials,18
Electrolux Vision Compact 'Great Outdoors',https://vimeo.com/1111757335,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials,19
Electrolux Double Oven 'Every Eventuality',https://vimeo.com/1111757302,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040101,Orange Films,Commercials,20
Carlsberg Pan 'Car Wash',https://vimeo.com/1111757263,Kees Dijkstra,"KC Films, Amsterdam","Imago RA, Zagreb",,20040201,Orange Films,Commercials,21
Absolut Level 'Balancing Act',https://vimeo.com/1111757219,Daniel Barber,"Rock Fight, Los Angeles","TVWA\Chiat\Day, New York",,20040201,Orange Films,Commercials,22
Electrolux Jet System 'Jet',https://vimeo.com/1111757173,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040301,Orange Films,Commercials,23
Miracoli 'Freshissimo le Frigo',https://vimeo.com/1111757117,Frank DeVos,"Lovo Films, Brussels","GV Company, Brussels",,20040301,Orange Films,Commercials,24
Anti-Smoking Tactical 'Nico’s Crib,https://vimeo.com/1111757077,Rory Kelleher,"Russell Avis Productions, Dublin","QMP Darcy, Dublin",,20040501,Orange Films,Commercials,25
Dairygold 'Sunbeam',https://vimeo.com/1111757033,Rory Kelleher,"Russell Avis Productions, Dublin","Cawley Nea \ TBWA, Dublin",,20040501,Orange Films,Commercials,26
Dairygold 'Light',https://vimeo.com/1111756989,Rory Kelleher,"Russell Avis Productions, Dublin","Cawley Nea \ TBWA, Dublin",,20040501,Orange Films,Commercials,27
Electrolux Epicure Oven 'Woman’s Heart',https://vimeo.com/1111756948,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040601,Orange Films,Commercials,28
Electrolux Washing Machine 'Fido',https://vimeo.com/1111756909,Dan Nathan,"Serious Pictures, London","Lowe, London",,20040601,Orange Films,Commercials,29
Lucky Charms 'Car Chase',https://vimeo.com/1111756870,Olivier Venturini,"Rant Films, New York","Saatchi & Saatchi, New York",,20041001,Orange Films,Commercials,30
