Title,video_id,director,int_production_company,record_label,year
Corinne Bailey-Ray “Put Your Records On”,https://vimeo.com/1109118283?fl=pl&fe=sh,Sam Brown,"Flynn Productions, UK",,20051201
Alice Martineau “The Right Time”,https://vimeo.com/1109118318?fl=pl&fe=sh,The Dempseys,"RHB, UK",Sony Entertainment,20030101
Attica Blues “Now You Know,https://vimeo.com/1109118378?fl=pl&fe=sh,Richard Gaisie,"RHB, UK",,20030101
Blue “You Make Me Wanna”,https://vimeo.com/1109308211?fl=pl&fe=sh,Phil Griffin,"Sledge, UK",Virgin Records,20030101
Chicane “Love On The Run”,https://vimeo.com/1109118474?fl=pl&fe=sh,Jeff Thomas,"POP @ Paul Weiland, UK",Warner Records,20021201
BB Mak “Staring Into Space”,https://vimeo.com/1109304596?fl=pl&fe=sh,Katie Bell,"RHB, UK",Telstar Records,20021201
Lighthouse Family “Dry”,https://vimeo.com/1109118505?fl=pl&fe=sh,Manny Bonett,"Flawless Films, UK","Fold 7, UK",20021001
Aurora “The Day It Rained Forever”,https://vimeo.com/1109118533?fl=pl&fe=sh,Orson Nava,"Science Films, UK",EMI Records,20020301
Pluto “Crazy World”,https://vimeo.com/1109301476?fl=pl&fe=sh,Orson Nava,"Science Films, UK",,20020301
Electric Soft Parade “Silent to the Dark”,https://vimeo.com/1109118579?fl=pl&fe=sh,Dougal Wilson,"Science Films, UK",,20011201
Cornershop “Lessons Learned from Rocky I to Rocky III”,https://vimeo.com/1109118617?fl=pl&fe=sh,Douglas Avery,"Science Films, UK",,20011201
Beverley Knight “Shoulda Woulda Coulda”,https://vimeo.com/1109304234?fl=pl&fe=sh,Douglas Avery,"Science Films, UK",,20011201
Faithless “Muhammad Ali”,https://vimeo.com/1109118653?fl=pl&fe=sh,James Brown,"Science Films, UK",,20010701
Peppercorn “Hyperventilating”,https://vimeo.com/1109118709?fl=pl&fe=sh,James Brown,"Science Films, UK",BMG,20010201
Peppercorn “Nice To You”,https://vimeo.com/1109118764?fl=pl&fe=sh,James Brown,"Science Films, UK",BMG,20010201
