Title,video_id,director,int_production_company,record_label,year,Portfolio Categories,Portfolio Tags
Ben Mills 'Beside You',https://vimeo.com/1111328138,JT,"Draw Pictures, London",,20070201,Freelance producer,Music videos
Corinne Bailey-Ray 'Put Your Records On'        ,https://vimeo.com/1109118283,Sam Brown,"Flynn Productions, London","Parlophone Records, London",20051201,Freelance producer,Music videos
Alice Martineau 'The Right Time',https://vimeo.com/1109118318,The Dempseys,"RHB, London","Sony Entertainment, London",20030101,Freelance producer,Music videos
Attica Blues 'Now You Know’        ,https://vimeo.com/1109118378?fl=pl&fe=sh,Richard Gaisie,"RHB, London",,20030101,Freelance producer,Music videos
Blue 'You Make Me Wanna'        ,https://vimeo.com/1109308211,Phil Griffin,"Sledge, London","Virgin Records, London",20030101,Freelance producer,Music videos
Chicane 'Love On The Run',https://vimeo.com/1109118474,Jeff Thomas,"POP @ Paul Weiland, London","Warner Records, London",20021201,Freelance producer,Music videos
BB Mak 'Staring Into Space'        ,https://vimeo.com/1109304596,Katie Bell,"RHB, London","Telstar Records, London",20021201,Freelance producer,Music videos
Lighthouse Family 'Dry',https://vimeo.com/1109118505,Manny Bonett,"Flawless Films, London","Fold 7, UK",20021001,Freelance producer,Music videos
Aurora 'The Day It Rained Forever',https://vimeo.com/1109118533,Orson Nava,"Science Films, London","EMI Records, London",20020301,Freelance producer,Music videos
Pluto 'Crazy World',https://vimeo.com/1109301476,Orson Nava,"Science Films, London",,20020301,Freelance producer,Music videos
Electric Soft Parade 'Silent to the Dark',https://vimeo.com/1109118579,Dougal Wilson,"Science Films, London",,20011201,Freelance producer,Music videos
Cornershop 'Lessons Learned from Rocky I to Rocky III' ,https://vimeo.com/1109118617,Douglas Avery,"Science Films, London","Wiija Records, London",20011201,Freelance producer,Music videos
Beverley Knight 'Shoulda Woulda Coulda',https://vimeo.com/1109304234?fl=pl&fe=sh,Douglas Avery,"Science Films, London","Parlophone Records, London",20011201,Freelance producer,Music videos
Faithless 'Muhammad Ali',https://vimeo.com/1109118653?fl=pl&fe=sh,James Brown,"Science Films, London","BMG, London",20010701,Freelance producer,Music videos
Peppercorn 'Hyperventilating',https://vimeo.com/1109118709,James Brown,"Science Films, London","BMG, London",20010201,Freelance producer,Music videos
